Date,Price,Open,High,Low,Vol.,Change %
2016-11-30,"6,783.79","6,772.00","6,845.74","6,765.23",1330000000.0,0.17%
2016-11-29,"6,772.00","6,799.47","6,800.91","6,729.36",772230000.0,-0.40%
2016-11-28,"6,799.47","6,840.75","6,840.96","6,769.77",709670000.0,-0.60%
2016-11-25,"6,840.75","6,829.20","6,852.14","6,818.12",477580000.0,0.17%
2016-11-24,"6,829.20","6,817.71","6,831.23","6,790.69",491420000.0,0.17%
2016-11-23,"6,817.71","6,819.72","6,880.74","6,779.45",796850000.0,-0.03%
2016-11-22,"6,819.72","6,777.96","6,851.37","6,777.96",896750000.0,0.62%
2016-11-21,"6,777.96","6,775.77","6,820.90","6,754.16",781740000.0,0.03%
2016-11-18,"6,775.77","6,794.71","6,811.62","6,740.34",866730000.0,-0.28%
2016-11-17,"6,794.71","6,749.72","6,798.75","6,745.08",826250000.0,0.67%
2016-11-16,"6,749.72","6,792.74","6,810.53","6,735.69",877280000.0,-0.63%
2016-11-15,"6,792.74","6,753.18","6,820.52","6,753.18",1160000000.0,0.59%
2016-11-14,"6,753.18","6,730.43","6,814.19","6,730.43",1050000000.0,0.34%
2016-11-11,"6,730.43","6,827.98","6,849.04","6,709.72",1110000000.0,-1.43%
2016-11-10,"6,827.98","6,911.84","6,997.25","6,799.05",1740000000.0,-1.21%
2016-11-09,"6,911.84","6,843.13","6,911.84","6,696.33",1360000000.0,1.00%
2016-11-08,"6,843.13","6,806.90","6,849.31","6,795.06",832260000.0,0.53%
2016-11-07,"6,806.90","6,693.26","6,806.90","6,693.26",862190000.0,1.70%
2016-11-04,"6,693.26","6,790.51","6,790.52","6,676.56",875840000.0,-1.43%
2016-11-03,"6,790.51","6,845.42","6,873.21","6,790.51",1080000000.0,-0.80%
2016-11-02,"6,845.42","6,917.14","6,917.14","6,845.42",773900000.0,-1.04%
2016-11-01,"6,917.14","6,954.22","6,993.79","6,903.61",780870000.0,-0.53%
2016-10-31,"6,954.22","6,996.26","6,996.26","6,945.29",810760000.0,-0.60%
2016-10-28,"6,996.26","6,986.57","7,006.43","6,927.21",956620000.0,0.14%
2016-10-27,"6,986.57","6,958.09","7,003.93","6,924.05",961780000.0,0.41%
2016-10-26,"6,958.09","7,017.64","7,017.64","6,917.77",939840000.0,-0.85%
2016-10-25,"7,017.64","6,986.40","7,067.23","6,985.92",861000000.0,0.45%
2016-10-24,"6,986.40","7,020.47","7,067.34","6,983.40",677600000.0,-0.49%
2016-10-21,"7,020.47","7,026.90","7,058.39","7,011.09",757850000.0,-0.09%
2016-10-20,"7,026.90","7,021.92","7,047.55","6,998.84",843640000.0,0.07%
2016-10-19,"7,021.92","7,000.06","7,031.20","6,975.92",823090000.0,0.31%
2016-10-18,"7,000.06","6,947.55","7,033.02","6,946.39",795840000.0,0.76%
2016-10-17,"6,947.55","7,013.55","7,013.55","6,937.43",727720000.0,-0.94%
2016-10-14,"7,013.55","6,977.74","7,055.18","6,977.74",872170000.0,0.51%
2016-10-13,"6,977.74","7,024.01","7,024.01","6,930.04",1040000000.0,-0.66%
2016-10-12,"7,024.01","7,070.88","7,079.42","7,015.76",937940000.0,-0.66%
2016-10-11,"7,070.88","7,097.50","7,129.83","7,061.36",983130000.0,-0.38%
2016-10-10,"7,097.50","7,044.39","7,104.49","7,024.08",874920000.0,0.75%
2016-10-07,"7,044.39","6,999.96","7,079.25","6,999.96",1400000000.0,0.63%
2016-10-06,"6,999.96","7,033.25","7,049.34","6,999.96",821630000.0,-0.47%
2016-10-05,"7,033.25","7,074.34","7,076.71","7,024.13",970160000.0,-0.58%
2016-10-04,"7,074.34","6,983.52","7,121.93","6,983.52",1450000000.0,1.30%
2016-10-03,"6,983.52","6,899.33","6,996.43","6,898.09",745410000.0,1.22%
2016-09-30,"6,899.33","6,919.42","6,919.42","6,809.51",1180000000.0,-0.29%
2016-09-29,"6,919.42","6,849.38","6,941.09","6,849.38",859070000.0,1.02%
2016-09-28,"6,849.38","6,807.67","6,878.21","6,807.67",758300000.0,0.61%
2016-09-27,"6,807.67","6,818.04","6,865.45","6,768.86",847950000.0,-0.15%
2016-09-26,"6,818.04","6,909.43","6,909.63","6,806.47",795940000.0,-1.32%
